	question	label
0	Should I use Plotly or matplotlib for visualization?	Data
1	would this be better if we had dedicated reactions for good/bad questions/answers?	Other
2	@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?	Other
3	What are some libraries for data visualization in python?	Data
4	Has anyone seen the original Transformers movie?	Other
5	"Neural networks can be programmed in both Tensorflow and PyTorch, true or false?"	Data
6	What statistical distribution models intervals?	Data
7	How many neurons are contained within the human nervous system?	Other
8	why is it that a snowflake falls in the winter instead of the summer?	Other
9	What does a data science career path look like?	Data
10	"When he attached the wires, they made a spark. Does he need more training?"	Other
11	Could you explain the difference between Spark and Hadoop?	Data
12	Does anyone know if non-library buildings are open on campus?	Other
13	Is it possible to set up an API in AWS?	Data
14	Has anyone ever trained a transformer model for NLP?	Data
15	What is a simulation and how does it differ from machine learning modeling?	Data
16	Django or Flask?	Data
17	What's the difference between data science and data analytics?	Data
18	What are some people's favorite movies?	Other
19	The wise old oak tree helped you make a decision?	Other
20	What is the best way to learn Tableau and PowerBI?	Data
21	"Which programming language is preferable for embedded systems, C or C++?"	Data
22	should I just thumbs up every single message or what	Other
23	what is data science?	Data
24	"and if we're not, why not?"	Other
25	Where was the largest cluster of cases found this month?	Data